,interest_rate,credit,march,may,previous,duration,y
473,0.7140000000000001,0.0,0.0,0.0,0.0,1127.0,yes
474,1.344,0.0,1.0,0.0,0.0,459.0,no
475,0.677,0.0,1.0,4.0,1.0,211.0,yes
476,1.27,0.0,1.0,1.0,1.0,193.0,yes
477,1.3130000000000002,0.0,1.0,1.0,0.0,395.0,no
478,4.961,0.0,0.0,0.0,0.0,223.0,no
479,4.963,0.0,0.0,0.0,0.0,686.0,yes
480,4.86,0.0,1.0,0.0,0.0,51.0,no
481,1.252,0.0,0.0,0.0,0.0,355.0,yes
482,4.962,0.0,0.0,0.0,0.0,298.0,no
483,4.962,0.0,0.0,0.0,0.0,42.0,no
484,1.365,0.0,0.0,0.0,0.0,1143.0,yes
485,0.645,0.0,0.0,0.0,0.0,688.0,yes
486,1.27,0.0,1.0,0.0,0.0,628.0,yes
487,4.959,0.0,0.0,0.0,0.0,706.0,yes
488,0.885,0.0,0.0,2.0,1.0,608.0,yes
489,4.1530000000000005,0.0,0.0,0.0,0.0,250.0,no
490,0.735,0.0,0.0,0.0,0.0,107.0,yes
491,4.965,0.0,0.0,0.0,0.0,716.0,yes
492,4.859,0.0,1.0,0.0,0.0,619.0,yes
493,4.864,0.0,0.0,0.0,0.0,406.0,no
494,4.963,0.0,0.0,0.0,0.0,73.0,no
495,1.334,0.0,1.0,0.0,0.0,127.0,no
496,4.1530000000000005,0.0,0.0,0.0,0.0,187.0,no
497,0.6459999999999999,1.0,0.0,1.0,1.0,180.0,yes
498,1.266,0.0,1.0,0.0,0.0,326.0,yes
499,1.405,0.0,0.0,1.0,0.0,109.0,yes
500,0.9,0.0,0.0,2.0,1.0,470.0,yes
501,4.0760000000000005,0.0,0.0,0.0,0.0,73.0,no
502,1.05,0.0,0.0,0.0,0.0,141.0,no
503,1.0290000000000001,0.0,0.0,1.0,0.0,115.0,no
504,0.748,0.0,0.0,1.0,1.0,171.0,no
505,4.961,0.0,0.0,0.0,0.0,498.0,no
506,1.268,0.0,0.0,0.0,0.0,365.0,yes
507,4.959,0.0,0.0,0.0,0.0,10.0,no
508,4.021,0.0,0.0,1.0,0.0,796.0,yes
509,0.877,0.0,0.0,2.0,1.0,279.0,yes
510,1.327,0.0,1.0,0.0,0.0,476.0,yes
511,4.965,0.0,0.0,0.0,0.0,479.0,yes
512,1.266,0.0,1.0,1.0,0.0,225.0,no
513,1.334,0.0,1.0,0.0,0.0,204.0,no
514,0.861,0.0,0.0,2.0,1.0,806.0,yes
515,0.879,0.0,0.0,0.0,0.0,290.0,no
516,0.877,0.0,0.0,5.0,1.0,473.0,yes
517,4.965,0.0,0.0,0.0,0.0,142.0,no
